日付,銘柄,株価,限月,コールスト,コール終値,コール理論,コールIV,プットスト,プット終値,プット理論,プットIV,原資産IV
2025-10-16,9432,156.0,202511,175.0,18.95,0.0388362527898138,0.18018,150.0,311069432,1.0197700682340385,,0.18018
2025-10-16,9984,23830.0,202511,25000.0,2522.52,1424.0663511152252,0.700908,22750.0,311359984,1373.16086045878,,0.700908
2025-10-17,2914,5007.0,202511,5250.0,284.86,49.16989579164169,0.235256,4800.0,311162914,53.433931686014375,,0.235256
2025-10-17,3382,1991.0,202511,2000.0,61.15,55.71407534481261,0.263422,1900.0,311023382,23.991016858967782,,0.263422
2025-10-17,4063,4897.0,202511,5250.0,417.12,74.10355081609146,0.351494,4700.0,311194063,110.09842534699963,,0.351494
2025-10-17,4502,4191.0,202511,4400.0,252.16,49.94769512918879,0.261185,4000.0,311114502,49.79188080534709,,0.261185
2025-10-17,5108,6516.0,202511,7000.0,500.51,23.3120243693204,0.210105,6000.0,311015108,14.75510924680998,,0.210105
2025-10-17,5401,601.7000122070312,202511,640.0,44.85,7.6293718770564,0.304195,580.0,311125401,11.495031814323768,,0.304195
2025-10-17,5713,5448.0,202511,5500.0,232.51,193.0216269073294,0.348403,5000.0,311075713,56.35537330117609,,0.348403
2025-10-17,5802,4458.0,202511,4600.0,235.45,102.71220573142864,0.316789,4200.0,311035802,60.37784483293808,,0.316789
2025-10-17,6098,7416.0,202511,7750.0,526.38,211.5681153704304,0.408197,7000.0,311116098,168.379184929217,,0.408197
2025-10-17,6301,5341.0,202511,5500.0,283.4,136.04480962436492,0.332184,5000.0,311156301,71.13678489978088,,0.332184
2025-10-17,6501,4490.0,202511,4700.0,353.1,156.4418025615753,0.471171,4300.0,311186501,153.6644694504398,,0.471171
2025-10-17,6503,3842.0,202511,4000.0,227.43,77.28656660716592,0.318078,3600.0,311026503,47.3341744637745,,0.318078
2025-10-17,6594,2494.0,202511,2600.0,149.59,48.6410836927065,0.316313,2400.0,311026594,49.31530265432184,,0.316313
2025-10-17,6702,3692.0,202511,3800.0,181.72,81.01516008958174,0.298452,3600.0,311026702,83.78624397311432,,0.298452
2025-10-17,6723,1922.0,202511,2000.0,141.2,68.82983181140185,0.460399,1800.0,311046723,48.745566241360166,,0.460399
2025-10-17,6752,1801.5,202511,1900.0,157.01,64.15937756022527,0.502369,1700.0,311196752,57.77932076021239,,0.502369
2025-10-17,6758,4300.0,202511,4516.0,344.83,141.35120783070283,0.463857,4100.0,311486758,136.76314430553862,,0.463857
2025-10-17,6762,2255.5,202511,2400.0,179.75,40.10580051714487,0.358832,2200.0,311046762,66.30279247102408,,0.358832
2025-10-17,6861,58780.0,202511,62000.0,4414.56,1333.875977459462,0.382073,56000.0,311166861,1357.6094321761884,,0.382073
2025-10-17,6954,4451.0,202511,4600.0,264.09,125.74306646244167,0.369356,4200.0,311036954,83.88090150366475,,0.369356
2025-10-17,7203,2933.5,202511,3100.0,212.91,52.537695918045415,0.340757,2800.0,311157203,57.37837858047294,,0.340757
2025-10-17,7974,12470.0,202511,13000.0,903.78,408.5598437662329,0.438986,11750.0,311067974,314.11656282582817,,0.438986
2025-10-17,8035,30080.0,202511,31500.0,2742.07,1432.8968805221905,0.587386,28500.0,311448035,1275.1814029782215,,0.587386
2025-10-17,8306,2232.5,202511,2300.0,128.21,66.09296492240708,0.370939,2100.0,311148306,40.38913328711374,,0.370939
2025-10-17,9432,158.3000030517578,202511,175.0,16.71,0.113410099164299,0.189092,150.0,311069432,0.7045249155484044,,0.189092
2025-10-17,9984,23030.0,202511,24250.0,2563.33,1449.5071671141468,0.741482,22000.0,311329984,1434.6130786970753,,0.741482
2025-10-20,2914,5020.0,202511,5250.0,269.69,52.76064323697187,0.23576,4800.0,311162914,50.429061692848336,,0.23576
2025-10-20,3382,2015.5,202511,2200.0,186.6,4.77532368330327,0.217632,1900.0,311023382,11.262597573875668,,0.217632
2025-10-20,4063,4875.0,202511,5000.0,244.48,140.7983530257452,0.349048,4600.0,311184063,82.47435455080517,,0.349048
2025-10-20,4502,4222.0,202511,4400.0,222.36,56.8622917312432,0.256507,4000.0,311114502,40.69543545061924,,0.256507
2025-10-20,5108,6705.0,202511,7000.0,335.19,55.118057964218,0.206189,6500.0,311025108,74.17056881185272,,0.206189
2025-10-20,5401,606.5,202511,640.0,40.96,9.607889198417864,0.315851,580.0,311125401,10.727415787992951,,0.315851
2025-10-20,5713,5348.0,202511,5500.0,256.67,125.24087992710383,0.309185,5000.0,311075713,59.15197267108511,,0.309185
2025-10-20,5802,4577.0,202511,4800.0,273.45,65.04699260313532,0.281881,4400.0,311045802,73.05052151418454,,0.281881
2025-10-20,6098,7801.0,202511,8250.0,615.58,205.44863002968577,0.424675,7500.0,311136098,240.06777593018023,,0.424675
2025-10-20,6301,5413.0,202511,5750.0,403.16,85.99275163031734,0.334688,5250.0,311166301,132.76982868140567,,0.334688
2025-10-20,6501,4576.0,202511,4800.0,345.88,146.9067495892889,0.452926,4300.0,311186501,117.56482391013331,,0.452926
2025-10-20,6503,3955.0,202511,4200.0,280.8,48.03351141993096,0.294148,3800.0,311036503,67.28679301164561,,0.294148
2025-10-20,6594,2558.5,202511,2600.0,109.53,78.84052313675397,0.333012,2400.0,311026594,35.53859620962021,,0.333012
2025-10-20,6702,3803.0,202511,4000.0,233.11,47.49688772028776,0.272214,3600.0,311026702,41.03710458392857,,0.272214
2025-10-20,6723,1917.5,202511,2000.0,130.84,58.09892751792654,0.418217,1800.0,311046723,42.16586424983211,,0.418217
2025-10-20,6752,1833.5,202511,1950.0,166.41,60.8914363810585,0.506305,1750.0,311206752,67.20391827809146,,0.506305
2025-10-20,6758,4420.0,202511,4612.0,325.23,158.65796739546772,0.470251,4200.0,311496758,138.0188855754334,,0.470251
2025-10-20,6762,2379.0,202511,2400.0,101.18,91.38774123770712,0.371727,2200.0,311046762,32.84624712280629,,0.371727
